"ft_dem","ft_rep","ft_lib","ft_con","ft_bigbiz","ft_unions","ft_xtnfund","ft_feminists","ft_gays","ft_trans","ft_muslims","ft_christians","ft_jews","ft_white","ft_black","ft_latino","ft_asian","ft_police","ft_blm","ft_maga","ft_nra","ft_rurams","ft_illegimmig","ft_dempres_pre","ft_reppres_pre","ft_biden_pre","ft_rfkJR_pre"
0,70,0,100,100,50,100,0,0,0,50,100,100,NA,NA,NA,NA,100,0,100,100,85,0,0,100,0,85
85,0,60,50,40,100,50,100,100,100,100,100,100,85,85,85,85,100,85,0,50,85,60,100,0,90,50
70,40,60,38,15,50,15,60,50,30,50,15,40,NA,85,50,50,15,70,0,30,50,70,85,0,85,70
10,85,60,85,60,15,60,40,70,50,70,100,85,85,85,85,85,100,15,70,70,85,0,0,85,15,30
65,40,80,10,5,70,10,85,75,70,65,89,70,50,90,70,60,40,70,5,0,50,40,70,30,70,50
0,100,40,85,70,85,30,85,60,0,70,70,85,85,85,85,85,100,50,100,85,100,15,0,100,0,15
70,10,50,35,20,70,10,60,60,60,60,55,60,50,60,60,60,30,75,0,10,40,50,85,1,65,30
0,40,0,40,30,0,NA,50,50,50,50,70,50,50,50,50,50,70,0,85,70,85,0,0,100,0,60
50,50,40,60,40,70,NA,70,70,70,70,70,70,85,70,70,70,85,70,15,70,85,40,15,0,40,60
60,15,50,50,30,15,85,60,50,50,70,100,85,85,NA,70,70,100,85,NA,85,60,40,85,15,70,50
70,30,50,50,30,50,30,50,40,0,50,30,50,50,50,50,40,50,50,50,30,40,15,85,15,85,40
0,90,10,90,30,80,90,10,60,30,20,90,70,90,50,60,90,90,0,100,100,100,10,0,100,0,100
25,70,10,85,70,60,40,50,70,20,70,70,99,NA,81,85,85,100,1,74,58,72,15,0,60,0,50
0,100,1,99,75,20,50,2,50,70,50,100,100,NA,NA,NA,NA,85,0,80,95,100,NA,0,100,0,60
70,40,50,30,40,100,60,70,70,100,70,50,80,30,50,50,50,50,100,0,30,40,50,85,0,60,50
50,70,50,60,30,60,NA,50,50,50,50,85,50,70,50,70,50,50,50,NA,60,60,50,50,60,40,60
98,0,85,30,40,75,0,70,85,50,85,40,95,50,100,85,85,50,100,0,0,15,50,100,0,100,0
55,0,70,60,45,65,45,50,75,70,85,100,85,40,60,65,85,60,75,0,5,65,50,60,0,70,20
100,0,40,0,0,50,0,0,100,100,0,0,0,0,100,0,0,40,100,0,0,50,0,100,0,100,0
20,60,10,90,60,30,85,30,40,40,50,100,50,70,NA,70,50,90,0,90,85,90,60,15,85,10,70
50,0,NA,NA,0,50,NA,60,50,50,NA,NA,NA,50,50,50,50,50,NA,NA,NA,NA,NA,60,0,50,0
15,70,50,40,60,70,50,15,15,0,50,70,50,60,40,50,60,85,15,70,85,60,15,0,70,15,60
10,70,40,90,32,20,70,35,0,2,25,90,80,80,60,NA,75,100,1,100,95,100,2,0,85,0,60
0,60,15,50,50,50,50,50,50,50,50,60,50,NA,50,50,50,60,15,50,50,50,30,0,85,0,40
100,0,70,0,40,85,0,85,70,60,50,50,100,50,50,50,50,60,70,0,59,30,50,100,0,100,0
40,70,40,70,0,60,50,15,70,40,70,85,50,85,85,85,85,70,40,60,50,85,50,10,60,0,60
90,30,70,60,70,80,60,50,50,40,40,70,50,60,70,85,95,60,50,40,50,70,50,80,40,85,60
15,70,30,85,60,60,86,45,75,65,60,90,100,90,90,90,90,85,40,90,85,85,40,0,85,15,15
100,0,85,85,100,100,85,85,85,85,85,100,85,85,85,85,85,100,85,0,0,100,50,100,0,100,0
25,70,15,90,70,20,50,50,50,25,80,90,100,70,70,80,70,90,0,90,50,75,40,0,75,30,45
25,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,75,25,50
NA,0,80,0,30,50,0,100,80,50,80,40,80,50,75,50,50,50,100,0,0,30,50,100,0,85,0
85,30,70,50,70,80,0,50,70,75,70,NA,85,70,80,85,80,50,75,0,15,75,80,70,0,85,15
70,15,100,0,10,100,0,100,100,100,100,0,60,50,100,100,100,10,100,0,0,0,100,100,0,60,0
40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,0,50,40
10,65,55,80,60,65,60,50,70,50,70,70,70,70,70,70,70,80,20,70,70,85,50,10,90,0,50
70,0,30,60,30,40,85,50,15,30,50,100,100,NA,50,50,85,40,0,50,70,100,30,50,0,85,15
95,0,70,35,50,80,60,95,50,50,70,100,70,35,95,100,85,85,70,0,85,90,85,100,0,98,67
0,85,40,85,40,70,50,100,85,60,50,85,85,NA,85,85,85,100,50,85,85,100,40,0,100,15,60
70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,0,70,15
15,60,30,70,40,15,50,40,50,50,50,50,50,70,40,60,70,30,0,0,0,60,0,30,0,30,50
100,0,100,0,50,70,50,80,100,100,100,50,100,30,100,100,100,50,100,0,40,50,50,100,0,100,50
15,60,50,50,NA,70,50,0,0,0,50,85,70,50,50,50,50,100,0,50,50,50,0,0,85,0,50
30,70,50,50,50,85,50,30,0,0,50,100,70,85,85,50,70,60,0,50,85,100,30,0,70,0,30
0,85,0,100,85,15,10,15,15,10,10,90,100,90,90,90,90,100,0,90,90,90,15,0,100,0,50
50,60,50,50,40,40,50,50,50,50,30,70,85,85,50,40,85,70,70,50,0,50,50,50,15,50,50
85,0,95,10,0,90,0,90,95,95,90,85,95,50,NA,90,90,15,95,0,0,NA,NA,100,0,100,0
0,100,0,100,50,50,50,50,50,10,50,85,50,50,NA,50,50,100,50,80,90,85,0,0,100,0,50
50,60,60,100,0,100,60,0,0,0,40,100,50,40,70,NA,70,60,40,15,0,50,85,50,70,15,50
60,30,50,50,40,50,50,50,85,85,100,100,100,50,50,50,50,85,60,30,40,100,40,85,0,85,50
100,0,60,60,40,65,60,60,70,60,70,60,70,NA,NA,NA,NA,60,80,0,0,70,NA,100,0,100,0
99,0,50,0,30,90,0,80,50,50,50,100,100,85,80,90,85,85,90,0,0,50,30,99,0,99,0
50,50,60,60,50,100,70,70,50,50,50,85,50,100,100,100,100,40,50,30,50,100,60,30,60,30,100
60,60,50,75,65,80,85,60,50,45,60,90,75,85,85,85,85,85,35,50,75,85,NA,15,30,15,40
60,10,40,15,15,95,15,70,70,90,50,40,50,40,50,50,50,15,90,0,10,30,60,75,0,60,10
30,70,15,85,60,15,85,15,15,15,15,85,100,70,50,60,70,100,0,100,100,100,0,15,85,0,15
30,30,15,70,50,NA,70,NA,15,0,NA,100,NA,85,85,85,85,85,NA,15,NA,NA,NA,30,30,30,70
85,0,100,0,60,85,100,15,100,100,70,100,100,85,100,100,100,65,85,0,60,70,60,90,0,90,50
0,80,10,95,95,40,95,0,0,0,0,100,95,50,50,50,50,95,0,90,95,100,0,0,98,0,90
70,10,85,15,40,50,0,75,60,50,60,50,60,70,99,75,75,70,40,0,0,60,30,85,0,65,20
30,60,35,75,65,65,70,50,50,0,65,100,80,70,75,75,75,75,0,70,60,100,30,15,60,15,50
15,60,15,70,50,30,85,30,30,30,30,85,70,50,50,50,50,85,30,70,85,85,30,15,85,15,30
50,50,50,50,50,50,50,50,50,50,15,50,50,50,40,30,50,70,50,50,85,50,30,15,85,15,50
15,85,50,50,50,50,50,50,85,85,50,100,50,85,85,60,30,85,85,50,50,50,30,0,100,0,50
0,85,50,50,0,100,50,50,50,50,50,50,100,100,100,100,100,100,50,50,100,70,70,0,85,0,100
50,50,50,50,50,50,NA,50,50,50,NA,70,50,50,50,50,50,85,50,NA,50,100,50,40,0,40,50
0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,40
60,15,40,20,20,50,0,65,70,70,50,40,50,50,50,60,50,40,51,0,35,40,35,70,0,60,15
75,10,65,50,30,95,40,70,50,60,50,40,75,70,100,100,100,60,70,15,30,70,10,90,0,70,15
70,40,60,70,40,70,50,70,70,60,70,85,85,70,70,60,70,85,50,40,40,85,50,70,0,85,40
0,100,0,100,50,50,50,50,25,0,50,95,85,70,70,70,70,100,25,95,100,85,0,0,100,0,50
55,55,70,50,60,80,30,70,70,65,70,90,80,85,85,85,85,100,60,0,10,100,70,90,0,80,40
75,0,50,40,60,40,0,50,50,50,50,50,50,50,50,50,50,60,50,0,50,70,50,85,0,85,0
65,0,60,30,30,85,0,50,50,50,70,50,50,80,80,80,80,50,80,0,0,70,60,80,0,80,0
70,45,50,65,45,80,60,65,50,25,50,95,75,75,75,70,70,85,30,15,35,80,NA,57,15,70,48
0,0,50,50,0,60,50,50,50,50,0,50,50,70,30,30,30,50,15,50,70,50,30,0,40,0,40
40,40,10,10,30,30,20,60,60,50,40,15,10,50,50,50,50,60,15,50,70,70,50,40,60,30,15
15,85,30,70,70,15,0,15,50,40,0,60,85,70,70,50,NA,85,50,50,60,60,40,50,85,0,70
20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,25,60,60
35,55,30,70,45,45,60,40,35,30,65,90,70,90,70,80,70,75,30,60,50,80,45,30,65,40,60
85,50,50,50,50,60,50,50,50,50,50,85,85,95,85,85,85,85,50,50,60,85,NA,100,0,76,50
80,0,85,40,30,100,30,85,60,85,70,100,100,69,100,100,60,60,100,0,40,85,60,90,0,90,0
15,70,50,80,50,50,80,60,60,60,60,85,80,80,80,80,80,90,40,80,75,80,50,15,75,15,70
0,60,0,100,60,15,100,0,0,0,0,100,100,100,100,100,100,100,15,50,100,50,50,0,100,0,50
NA,NA,15,85,15,60,50,50,85,85,70,85,85,85,85,85,85,100,0,50,85,85,15,NA,85,15,50
0,85,50,50,40,85,85,40,40,40,50,85,85,50,50,50,50,85,50,85,100,100,15,0,100,0,70
51,49,85,85,70,85,50,85,85,85,85,50,50,85,85,85,85,90,50,0,90,85,85,50,40,51,55
90,0,95,90,40,85,0,50,50,20,0,75,50,70,NA,50,50,85,50,0,0,50,50,100,0,100,0
15,70,50,55,60,50,50,35,70,30,45,90,50,80,75,60,50,85,70,87,75,75,5,0,85,0,70
40,60,50,NA,30,50,0,15,50,50,50,50,50,50,50,50,50,85,50,50,0,NA,50,50,70,0,60
0,70,50,50,50,50,50,0,50,50,50,50,50,100,100,100,100,100,50,100,50,50,50,0,100,0,50
15,85,30,90,20,20,70,10,0,0,50,90,50,100,75,100,100,80,15,90,85,100,0,15,100,30,70
85,40,100,15,15,50,60,100,85,85,100,85,100,40,50,50,40,85,85,0,0,70,50,100,15,85,70
75,0,55,70,60,70,50,70,90,60,70,70,70,85,85,100,85,90,60,20,50,65,65,85,0,85,15
0,85,15,85,60,15,85,NA,NA,NA,70,100,100,100,100,100,100,95,10,100,85,100,40,0,100,30,70
20,40,40,50,20,30,50,0,50,50,50,50,50,50,50,50,50,60,0,50,20,70,20,0,60,0,60
70,40,50,40,50,60,50,50,50,30,50,70,50,85,85,85,85,80,40,NA,85,85,30,50,30,70,85
10,70,40,40,45,50,55,60,50,45,55,100,70,70,45,80,60,80,40,50,40,70,30,10,70,10,60
15,30,30,60,50,30,50,50,50,50,50,70,50,50,50,NA,50,85,50,NA,50,50,0,30,15,15,30
75,30,80,60,60,60,15,60,90,100,90,70,90,70,70,80,80,90,60,0,10,70,80,90,0,80,5
70,15,85,70,40,85,15,85,70,85,100,100,100,85,85,85,85,70,100,NA,0,NA,70,85,0,70,15
100,15,50,60,70,85,85,70,70,50,70,90,70,85,80,80,80,75,70,15,50,60,80,100,0,100,60
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,30
40,40,40,70,30,50,60,60,70,70,70,85,70,85,85,85,70,85,30,15,70,85,60,60,0,40,40
0,70,30,70,60,15,70,50,50,30,50,85,50,70,70,70,85,50,0,70,50,50,15,0,85,0,40
50,85,60,80,80,25,80,50,20,25,40,80,70,90,NA,85,90,70,60,50,80,80,30,40,70,40,NA
15,70,25,70,60,40,50,20,50,20,50,95,50,50,50,50,50,99,50,60,50,50,10,5,60,0,50
50,100,70,85,70,70,85,50,50,50,0,100,70,85,50,50,50,100,50,100,70,50,15,50,100,30,70
60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,60,15
90,30,55,45,40,85,35,55,75,70,60,55,85,70,70,70,70,85,60,0,15,70,50,90,0,90,70
15,70,40,90,60,90,50,50,90,50,90,90,50,100,100,100,100,90,50,75,50,90,15,0,85,0,70
0,100,0,100,15,50,60,50,50,50,50,100,85,100,100,50,60,100,50,100,85,60,0,0,100,0,80
15,60,0,85,70,15,100,100,0,0,0,70,85,100,100,100,100,100,0,100,100,100,0,0,70,15,50
100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,100,50
5,75,30,97,85,90,99,50,95,90,95,99,98,90,90,90,90,95,95,100,90,98,10,2,95,10,70
85,30,85,50,70,85,70,100,85,85,85,85,85,100,100,100,100,85,85,0,15,85,85,90,0,90,30
70,15,50,50,40,85,50,50,50,60,50,50,50,50,50,50,50,100,50,0,50,50,0,85,0,85,50
41,40,50,50,50,50,50,50,50,50,50,50,50,70,70,70,70,70,50,15,50,74,50,70,5,60,40
30,60,15,70,30,30,50,60,60,40,40,75,75,85,85,70,70,60,30,60,60,75,15,40,60,30,50
15,60,60,60,70,60,0,15,60,15,15,60,70,NA,100,85,100,85,0,60,50,70,15,15,50,30,50
70,40,30,70,70,80,70,85,60,50,70,100,70,70,80,85,70,90,30,80,90,90,80,70,40,70,60
85,0,70,0,30,100,0,85,100,100,50,50,50,40,100,100,100,50,30,0,0,40,70,100,0,100,0
0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,40
70,15,60,60,60,70,15,85,90,90,90,70,90,90,90,90,90,100,60,15,15,100,55,70,0,60,30
85,10,80,40,30,90,15,70,75,70,70,50,70,80,80,80,80,75,70,0,30,60,65,85,2,80,25
40,40,85,60,0,0,45,55,85,55,NA,100,85,100,55,55,85,100,30,35,60,90,33,0,100,0,100
30,40,30,40,40,40,70,30,40,30,30,85,70,85,70,70,70,85,30,0,15,70,50,70,0,60,40
100,15,85,40,50,70,15,85,85,85,85,85,100,70,70,70,70,85,70,0,0,85,70,100,15,100,30
85,15,60,40,50,70,0,60,60,60,60,60,60,60,60,70,60,70,60,0,30,70,60,85,0,85,15
68,19,50,58,55,69,49,49,50,50,89,65,58,70,70,75,70,69,62,7,33,50,70,80,20,65,50
85,30,70,35,30,80,40,80,75,75,60,50,80,50,50,50,50,75,65,0,25,65,50,95,0,90,5
24,25,25,55,50,20,50,50,50,50,50,50,50,50,50,50,50,65,40,40,50,50,50,25,35,35,50
15,50,32,87,70,32,15,0,50,0,15,75,60,80,30,80,80,99,0,50,52,NA,19,10,65,64,25
0,100,0,100,50,100,100,0,0,0,0,100,100,100,100,85,50,100,0,100,100,100,0,0,100,0,0
60,40,50,50,50,40,50,30,50,50,50,50,50,50,50,50,50,70,15,15,0,50,50,75,25,65,50
0,100,0,100,70,70,85,NA,0,0,0,100,100,100,60,70,85,100,0,100,100,90,NA,0,100,0,60
5,70,10,85,40,40,85,30,40,25,30,90,75,85,70,70,75,70,0,70,70,85,25,0,90,10,10
80,15,70,15,0,90,15,50,50,50,40,60,60,60,70,70,70,60,50,0,85,85,70,90,0,85,0
100,40,70,40,50,70,50,0,70,70,50,50,85,50,50,50,50,85,60,0,40,85,40,100,0,85,30
0,70,30,90,80,40,80,15,10,0,50,90,85,60,50,50,50,85,0,85,80,80,30,0,100,0,60
85,15,60,50,50,60,20,95,95,95,95,60,95,100,100,100,100,50,95,0,40,100,100,100,0,100,30
95,0,95,15,10,80,15,95,90,85,85,30,95,50,75,75,75,60,85,0,15,40,25,100,0,100,0
85,50,50,60,60,70,70,50,0,0,50,85,70,50,60,50,50,60,60,0,60,60,0,85,0,85,50
0,85,NA,NA,NA,NA,NA,NA,90,90,NA,NA,NA,70,70,50,70,90,NA,90,NA,NA,10,0,99,0,60
15,60,0,85,60,50,50,40,50,50,50,70,50,50,50,50,50,85,15,70,85,85,0,30,70,30,50
40,70,50,70,70,70,30,60,85,60,60,75,100,70,60,60,60,70,60,60,85,85,30,0,85,15,100
30,40,30,50,50,60,15,15,40,30,50,60,60,50,50,50,50,60,30,15,50,70,30,40,15,40,15
40,60,30,70,50,50,40,15,70,0,50,50,50,NA,NA,NA,NA,100,0,100,100,50,NA,0,70,0,85
90,0,100,30,15,100,0,100,100,100,85,50,30,50,100,85,85,15,85,0,0,85,100,95,0,80,0
0,70,30,75,40,50,20,30,100,10,30,85,95,80,80,80,80,95,30,75,15,100,30,0,60,0,50
85,30,78,65,50,80,56,95,79,81,80,70,80,70,100,100,100,46,80,12,12,78,85,85,0,70,0
30,40,70,35,40,70,10,80,75,75,75,65,50,80,65,85,70,80,70,15,25,70,25,40,40,30,50
6,1,75,60,40,51,25,75,50,50,51,50,51,50,50,50,50,51,70,0,49,75,50,9,1,8,2
70,15,40,10,10,0,10,85,85,50,40,15,50,60,50,60,80,80,75,10,0,60,0,60,0,70,15
85,0,80,45,50,40,30,30,80,70,60,70,95,75,85,75,75,43,80,30,36,60,70,60,0,85,15
85,30,85,50,70,85,70,70,85,85,70,85,70,NA,100,85,85,85,85,30,50,85,85,85,0,70,15
0,70,35,90,60,75,60,45,60,50,50,90,50,70,70,70,70,60,0,60,50,60,15,0,60,0,60
55,25,100,50,50,90,25,100,100,100,100,95,100,100,100,100,100,75,85,0,10,80,25,75,0,55,30
60,0,50,0,50,40,50,50,50,50,50,50,50,60,100,100,50,50,100,0,50,50,60,70,0,40,50
0,100,50,50,60,50,50,50,50,50,NA,70,30,50,50,60,85,30,0,50,50,60,0,0,85,15,50
40,70,60,85,NA,NA,70,50,50,50,50,100,85,100,100,100,100,85,30,70,85,100,NA,50,60,50,70
25,55,45,60,70,40,50,40,50,50,50,80,100,50,50,50,50,85,15,40,50,80,30,15,40,30,40
100,0,60,85,100,100,60,100,50,50,85,100,100,NA,100,100,100,100,85,100,85,100,85,100,0,100,70
70,0,100,15,15,NA,0,100,100,100,100,50,70,40,85,100,70,100,100,0,0,50,85,90,0,90,0
0,15,30,40,30,25,25,10,10,10,25,30,25,40,30,30,30,40,15,40,30,50,10,0,60,0,30
100,0,85,50,40,50,50,85,85,85,60,70,85,100,100,100,100,85,85,0,40,50,50,100,0,60,50
60,30,65,0,0,50,0,80,65,65,50,0,65,40,100,100,100,50,60,0,70,50,50,85,0,85,0
65,65,40,40,30,40,65,65,100,100,100,50,100,100,100,100,100,85,30,0,40,100,50,65,65,50,75
70,15,70,10,30,90,10,70,70,60,50,50,85,70,50,65,70,85,50,5,50,60,0,85,0,70,40
40,40,50,50,0,50,50,15,50,50,50,70,85,50,50,50,50,70,50,50,50,100,30,60,30,0,85
65,15,60,40,40,60,30,70,50,50,50,50,50,50,60,60,60,60,50,40,30,50,70,85,0,85,15
10,30,25,75,75,50,50,10,85,10,50,85,90,85,85,85,85,90,0,75,50,90,0,0,60,0,90
50,40,40,50,40,70,70,70,70,85,70,60,60,50,50,50,50,70,70,50,70,60,15,40,30,15,60
85,30,50,50,85,50,15,100,100,100,100,100,100,100,100,100,100,85,100,0,15,100,100,85,0,40,0
30,90,0,0,50,95,90,0,50,0,20,100,95,80,90,80,90,85,70,90,100,90,0,0,100,0,50
40,60,60,40,40,60,50,50,50,50,50,NA,85,50,50,NA,50,100,70,50,40,85,15,30,60,60,70
85,1,89,50,75,75,25,90,90,90,90,75,90,60,60,60,60,90,90,1,15,70,60,85,0,85,10
85,15,0,50,50,50,100,100,100,100,100,100,100,85,100,85,85,50,100,0,0,50,50,100,0,85,0
